,available_time,job_id,job_title,location,job_url,company_name,company_url
22,2020-11-21 17:31:42.157968,31363590,Quantitative Developer,"Mississauga, Ontario, Canada",https://ca.linkedin.com/jobs/view/quantitative-developer-at-iris-software-inc-2209111229?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Iris Software Inc.,https://www.linkedin.com/company/iris-software-inc.?trk=public_jobs_job-result-card_result-card_subtitle-click
23,2020-11-21 17:31:42.157971,93869372,Quantitative Analyst,Apply Now,https://ca.linkedin.com/jobs/view/quantitative-analyst-at-rbc-capital-markets-2279628671?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,RBC Capital Markets,https://ca.linkedin.com/company/rbc-capital-markets?trk=public_jobs_job-result-card_result-card_subtitle-click
24,2020-11-21 17:31:42.157973,29349368,Quantitative Developer (fulltime),"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/quantitative-developer-fulltime-at-tundra-technical-solutions-2294084338?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Tundra Technical Solutions,https://ca.linkedin.com/company/tundra-technical-solutions?trk=public_jobs_job-result-card_result-card_subtitle-click
25,2020-11-21 17:31:42.157975,80195811,Quantitative Researcher - Vancouver,"Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/quantitative-researcher-vancouver-at-matchbox-2304303110?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Matchbox,https://www.linkedin.com/company/matchbox?trk=public_jobs_job-result-card_result-card_subtitle-click
26,2020-11-21 17:31:42.157977,8561876,Data and Analytics Quantitative Analyst 3157309,"Vancouver, British Columbia, Canada",https://ca.linkedin.com/jobs/view/data-and-analytics-quantitative-analyst-3157309-at-morgan-stanley-2277234801?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Morgan Stanley,https://www.linkedin.com/company/morgan-stanley?trk=public_jobs_job-result-card_result-card_subtitle-click
27,2020-11-21 17:31:42.157979,64761157,"VP, Quant Engineer","Montreal, Quebec, Canada",https://ca.linkedin.com/jobs/view/vp-quant-engineer-at-bmo-financial-group-2294479608?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,BMO Financial Group,https://ca.linkedin.com/company/bank-of-montreal?trk=public_jobs_job-result-card_result-card_subtitle-click
28,2020-11-21 17:31:42.157981,1148902,"Data Scientist, People Analytics","Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-scientist-people-analytics-at-restaurant-brands-international-2317123703?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Restaurant Brands International,https://ca.linkedin.com/company/restaurant-brands-international?trk=public_jobs_job-result-card_result-card_subtitle-click
29,2020-11-21 17:31:42.157983,13352875,Data Scientist - Intermediate (4-6 years) - Toronto - Remote during COVID,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/data-scientist-intermediate-4-6-years-toronto-remote-during-covid-at-corgta-inc-2274619273?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,CorGTA Inc.,https://ca.linkedin.com/company/corgta?trk=public_jobs_job-result-card_result-card_subtitle-click
30,2020-11-21 17:31:42.157985,72426396,Data Engineer - Quant Fund ‎- $130k,Apply Now,https://ca.linkedin.com/jobs/view/data-engineer-quant-fund-%E2%80%8E-%24130k-at-hunter-bond-2261043499?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Hunter Bond,https://uk.linkedin.com/company/hunter-bond?trk=public_jobs_job-result-card_result-card_subtitle-click
31,2020-11-21 17:31:42.157987,59902011,Quantitative Analyst/Senior Quantitative Analyst,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/quantitative-analyst-senior-quantitative-analyst-at-hillsdale-investment-management-inc-2308459500?refId=0b560bfa-06ae-4308-849a-102a5e5a7b26&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Hillsdale Investment Management Inc.,https://ca.linkedin.com/company/hillsdale-investment-management?trk=public_jobs_job-result-card_result-card_subtitle-click
